Year,Province name,District number,Election,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,"""Province name""",Total Valid votes in district,Invalid votes
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Gerakan Indonesia Raya,6,220728,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Demokrat,7,115236,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Amanat Nasional,8,63390,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Persatuan Pembangunan,9,90496,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Hati Nurani Rakyat,10,99538,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Bulan Bintang,14,34090,Province name,,
2014,Jawa Barat,1,DPR,2043116,1430718,109,Partai Keadilan dan Persatuan Indonesia,15,9644,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,"",,,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Nasional Demokrat,1,118981,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Kebangkitan Bangsa,2,164779,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Keadilan Sejahtera,3,188925,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Demokrasi Indonesia Perjuangan,4,458909,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Golongan Karya,5,431915,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Gerakan Indonesia Raya,6,274411,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Demokrat,7,309279,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Amanat Nasional,8,136765,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Persatuan Pembangunan,9,120748,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Hati Nurani Rakyat,10,143900,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Bulan Bintang,14,58854,Province name,,
2014,Jawa Barat,2,DPR,3571838,2422939,263,Partai Keadilan dan Persatuan Indonesia,15,15473,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,"",,,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Nasional Demokrat,1,63780,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Kebangkitan Bangsa,2,89244,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Keadilan Sejahtera,3,157667,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Demokrasi Indonesia Perjuangan,4,243176,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Golongan Karya,5,254742,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Gerakan Indonesia Raya,6,133647,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Demokrat,7,222686,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Amanat Nasional,8,67575,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Persatuan Pembangunan,9,100955,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Hati Nurani Rakyat,10,104716,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Bulan Bintang,14,36908,Province name,,
2014,Jawa Barat,3,DPR,2306396,1486032,183,Partai Keadilan dan Persatuan Indonesia,15,10936,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,"",,,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Nasional Demokrat,1,58619,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Kebangkitan Bangsa,2,67854,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Keadilan Sejahtera,3,131156,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Demokrasi Indonesia Perjuangan,4,189011,Province name,,
